3.72,1,0
3.72,4.5,0
3.62,5,0
3.6,-0.5,0
3.65,4,0
3.77,5,0
3.82,1,0
3.65,0.5,0
3.84,3.5,0
3.88,3,0
3.88,5,0
3.9,2.5,0
3.82,5,0
3.65,0.5,0
3.62,3.5,0
3.75,2.5,0
3.81,4,0
3.69,0,0
3.6,2,0
3.75,4.5,0
3.87,4.5,0
3.9,4,0
3.65,1,0
3.72,5,0
3.72,4,0
3.6,2.5,0
3.65,1.5,0
3.67,0,0
3.74,5,0
3.87,3,0
3.87,3,0
3.62,2,0
3.9,3,0
3.62,1,0
3.65,0,0
3.6,3.5,0
3.69,1.5,0
3.74,1,0
3.62,3.5,0
3.6,1,0
3.84,2,0
3.81,3.5,0
3.82,2.5,0
3.87,3,0
3.72,3.5,0
3.88,2.5,0
3.75,2.5,0
3.69,3.5,0
3.86,5,0
3.74,0,0
3.62,3,0
3.77,1.5,0
3.6,1.5,0
3.67,2,0
3.75,1,0
3.84,1.5,0
3.79,3.5,0
3.65,2,0
3.6,5,0
3.75,3.5,0
3.9,4.5,0
3.6,0,0
3.87,3.5,0
3.65,1.5,0
3.81,1.5,0
3.84,4,0
3.82,5,0
3.62,1,0
3.67,0,0
3.62,4.5,0
3.72,2,0
3.69,3,0
3.67,0.5,0
3.74,0,0
3.87,4.5,0
3.6,4.5,0
3.82,5,0
3.69,1,0
3.67,0.5,0
3.74,3.5,0
3.82,3.5,0
3.69,5,0
3.84,3,0
3.75,1.5,0
3.6,5,0
3.82,4,0
3.74,3.5,0
3.74,4,0
3.69,2.5,0
3.62,0,0
3.75,2,0
3.72,3.5,0
3.67,4,0
3.82,5,0
3.69,0.5,0
3.77,2,0
3.87,3,0
3.87,3.5,0
3.69,2.5,0
3.72,4.5,0
3.65,1.5,0
3.82,3.5,0
3.75,2.5,0
3.74,1.5,0
3.77,1.5,0
3.87,3,0
3.6,5,0
3.87,1.5,0
3.88,5,0
3.81,1,0
3.69,3.5,0
3.69,1,0
3.6,0.5,0
3.74,2.5,0
3.69,0,0
3.67,5,0
3.6,1,0
3.74,3,0
3.6,4,0
3.72,4.5,0
3.74,0,0
3.62,2.5,0
3.82,4,0
3.67,1.5,0
3.69,4.5,0
3.82,4.5,0
3.84,1.5,0
3.87,4,0
3.65,4.5,0
3.74,2.5,0
3.86,3,0
3.82,4,0
3.69,3.5,0
3.82,2.5,0
3.72,3,0
3.81,5,0
3.84,3,0
3.77,5,0
3.81,1,0
3.86,3.5,0
3.84,4,0
3.67,2,0
